date,time|cst,elevation|meters,storage|tcm,surface area|ha
08/31/2022,12:15,323.475,1118212,9549.0
08/31/2022,12:00,323.472,1117928,9546.6
08/31/2022,11:45,323.469,1117644,9544.2
08/31/2022,11:30,323.466,1117360,9541.8
08/31/2022,11:15,323.465,1117265,9541.0
08/31/2022,11:00,323.464,1117170,9540.2
08/31/2022,10:45,323.457,1116508,9534.6
08/31/2022,10:30,323.458,1116602,9535.4
08/31/2022,10:15,323.460,1116792,9537.0
08/31/2022,10:00,323.457,1116508,9534.6
08/31/2022,09:45,323.460,1116792,9537.0
08/31/2022,09:30,323.464,1117170,9540.2
08/31/2022,09:15,323.465,1117265,9541.0
08/31/2022,09:00,323.465,1117265,9541.0
08/31/2022,08:45,323.464,1117170,9540.2
08/31/2022,08:30,323.462,1116981,9538.6
08/31/2022,08:15,323.457,1116508,9534.6
08/31/2022,08:00,323.456,1116413,9533.8
08/31/2022,07:45,323.457,1116508,9534.6
08/31/2022,07:30,323.457,1116508,9534.6
08/31/2022,07:15,323.453,1116130,9531.8
08/31/2022,07:00,323.451,1115941,9530.6
08/31/2022,06:45,323.455,1116318,9533.0
08/31/2022,06:30,323.456,1116413,9533.8
08/31/2022,06:15,323.455,1116318,9533.0
08/31/2022,06:00,323.454,1116224,9532.4
08/31/2022,05:45,323.451,1115941,9530.6
08/31/2022,05:30,323.455,1116318,9533.0
08/31/2022,05:15,323.455,1116318,9533.0
08/31/2022,05:00,323.452,1116035,9531.2
08/31/2022,04:45,323.451,1115941,9530.6
08/31/2022,04:30,323.450,1115847,9530.0
08/31/2022,04:15,323.450,1115847,9530.0
08/31/2022,04:00,323.447,1115563,9527.6
08/31/2022,03:45,323.446,1115469,9526.8
08/31/2022,03:30,323.447,1115563,9527.6
08/31/2022,03:15,323.447,1115563,9527.6
08/31/2022,03:00,323.448,1115658,9528.4
08/31/2022,02:45,323.446,1115469,9526.8
08/31/2022,02:30,323.447,1115563,9527.6
08/31/2022,02:15,323.447,1115563,9527.6
08/31/2022,02:00,323.445,1115374,9526.0
08/31/2022,01:45,323.444,1115279,9525.2
08/31/2022,01:30,323.443,1115184,9524.4
